iter	Passed	Remaining
744	14256	4879
745	14269	4858
746	14286	4838
747	14299	4817
748	14310	4795
749	14318	4772
750	14338	4753
751	14359	4735
752	14378	4716
753	14386	4693
754	14407	4675
755	14428	4656
756	14449	4638
757	14469	4619
758	14494	4602
759	14517	4584
760	14525	4562
761	14532	4538
762	14544	4517
763	14550	4494
764	14564	4474
765	14574	4452
766	14593	4433
767	14616	4415
768	14641	4398
769	14663	4380
770	14683	4361
771	14702	4342
772	14710	4319
773	14731	4301
774	14752	4282
775	14772	4264
776	14793	4245
777	14818	4228
778	14830	4207
779	14853	4189
780	14863	4167
781	14883	4149
782	14902	4129
783	14913	4108
784	14928	4088
785	14946	4069
786	14966	4050
787	14988	4032
788	15009	4013
789	15028	3995
790	15051	3976
791	15074	3959
792	15087	3938
793	15099	3917
794	15119	3898
795	15141	3880
796	15163	3862
797	15186	3844
798	15207	3825
799	15227	3806
800	15250	3788
801	15271	3770
802	15294	3752
803	15316	3733
804	15335	3714
805	15357	3696
806	15371	3676
807	15393	3657
808	15415	3639
809	15424	3618
810	15437	3597
811	15455	3578
812	15465	3557
813	15488	3539
814	15507	3520
815	15527	3501
816	15548	3482
817	15570	3464
818	15595	3446
819	15609	3426
820	15630	3407
821	15639	3386
822	15662	3368
823	15682	3349
824	15702	3330
825	15708	3309
826	15719	3288
827	15742	3270
828	15765	3251
829	15780	3232
830	15803	3213
831	15816	3193
832	15838	3175
833	15861	3157
834	15874	3136
835	15894	3118
836	15916	3099
837	15927	3079
838	15949	3060
839	15969	3041
840	15990	3023
841	16011	3004
842	16019	2983
843	16032	2963
844	16053	2944
845	16073	2925
846	16094	2907
847	16114	2888
848	16136	2869
849	16158	2851
850	16166	2830
851	16190	2812
852	16212	2793
853	16222	2773
854	16246	2755
855	16271	2737
856	16293	2718
857	16315	2700
858	16336	2681
859	16356	2662
860	16377	2643
861	16398	2625
862	16418	2606
863	16438	2587
864	16445	2566
865	16465	2547
866	16484	2528
867	16506	2510
868	16528	2491
869	16550	2473
870	16571	2454
871	16590	2435
872	16613	2416
873	16636	2398
874	16650	2378
875	16672	2360
876	16687	2340
877	16709	2321
878	16729	2302
879	16753	2284
880	16767	2264
881	16779	2244
882	16799	2226
883	16822	2207
884	16842	2188
885	16852	2168
886	16876	2149
887	16896	2131
888	16919	2112
889	16934	2093
890	16955	2074
891	16974	2055
892	16995	2036
893	17016	2017
894	17038	1998
895	17057	1979
896	17071	1960
897	17092	1941
898	17113	1922
899	17137	1904
900	17159	1885
901	17179	1866
902	17190	1846
903	17202	1826
904	17223	1807
905	17242	1788
906	17251	1768
907	17264	1749
908	17285	1730
909	17311	1712
910	17330	1693
911	17349	1674
912	17358	1654
913	17379	1635
914	17401	1616
915	17413	1596
916	17434	1578
917	17457	1559
918	17476	1540
919	17484	1520
920	17507	1501
921	17528	1482
922	17551	1464
923	17572	1445
924	17596	1426
925	17616	1407
926	17638	1388
927	17658	1370
928	17679	1351
929	17699	1332
930	17722	1313
931	17745	1294
932	17753	1274
933	17773	1255
934	17795	1237
935	17810	1217
936	17821	1198
937	17842	1179
938	17855	1159
939	17869	1140
940	17891	1121
941	17898	1102
942	17919	1083
943	17942	1064
944	17962	1045
945	17984	1026
946	18008	1007
947	18032	989
948	18053	970
949	18060	950
950	18081	931
951	18092	912
952	18111	893
953	18118	873
954	18124	854
955	18147	835
956	18155	815
957	18184	797
958	18252	780
959	18273	761
960	18287	742
961	18306	723
962	18318	703
963	18341	684
964	18364	666
965	18374	646
966	18398	627
967	18424	609
968	18445	590
969	18452	570
970	18465	551
971	18488	532
972	18509	513
973	18530	494
974	18554	475
975	18568	456
976	18590	437
977	18602	418
978	18613	399
979	18634	380
980	18656	361
981	18677	342
982	18696	323
